A320,2,16.03,-435.95,-2.67,3.22,0.01,-0.56,0.01,-0.61,33000,17535,33000
A320,1,26.24,-1691.28,-5.66,6.85,0,-0.43,-0.01,-0.53,33000,17489,33000
B77L,2,11.48,21.11,-1.35,1.6,-0.01,-0.49,0.02,-0.5,32182,14273,35000
B77L,1,14.73,-411.07,-2.17,2.63,-0.01,-0.46,-0.01,-0.43,31857,14122,35000
